Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Emanuel Hall (15801454),Emanuel Hall,15801454,WR/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,WAS,0
WR,Christian Blake (15801460),Christian Blake,15801460,WR/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,ATL,4.55
WR,Isaiah Wright (15801466),Isaiah Wright,15801466,WR/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,WAS,0
DST,Falcons  (15801529),Falcons ,15801529,DST,3000,WAS@ATL 11/19/2020 12:00PM ET,ATL,5.84
TE,Logan Thomas (15801486),Logan Thomas,15801486,TE/FLEX,2900,WAS@ATL 11/19/2020 12:00PM ET,WAS,2.85
DST,WAS Football Team  (15801530),WAS Football Team ,15801530,DST,2900,WAS@ATL 11/19/2020 12:00PM ET,WAS,6.36
TE,Levine Toilolo (15801496),Levine Toilolo,15801496,TE/FLEX,2700,NYG@CLE 11/19/2020 02:00PM ET,NYG,5.66
DST,Vikings  (15801531),Vikings ,15801531,DST,2700,LAR@MIN 11/19/2020 04:00PM ET,MIN,5.76
TE,David Njoku (15801490),David Njoku,15801490,TE/FLEX,2600,NYG@CLE 11/19/2020 02:00PM ET,CLE,2.93
DST,Browns  (15801532),Browns ,15801532,DST,2600,NYG@CLE 11/19/2020 02:00PM ET,CLE,2.43
TE,Harrison Bryant (15801498),Harrison Bryant,15801498,TE/FLEX,2500,NYG@CLE 11/19/2020 02:00PM ET,CLE,0
TE,Kaden Smith (15801500),Kaden Smith,15801500,TE/FLEX,2500,NYG@CLE 11/19/2020 02:00PM ET,NYG,0
TE,Eric Tomlinson (15801510),Eric Tomlinson,15801510,TE/FLEX,2500,NYG@CLE 11/19/2020 02:00PM ET,NYG,0
TE,Stephen Carlson (15801512),Stephen Carlson,15801512,TE/FLEX,2500,NYG@CLE 11/19/2020 02:00PM ET,CLE,0
TE,Charley Hughlett (15801522),Charley Hughlett,15801522,TE/FLEX,2500,NYG@CLE 11/19/2020 02:00PM ET,CLE,0
TE,Casey Kreiter (15801526),Casey Kreiter,15801526,TE/FLEX,2500,NYG@CLE 11/19/2020 02:00PM ET,NYG,0
DST,Giants  (15801533),Giants ,15801533,DST,2500,NYG@CLE 11/19/2020 02:00PM ET,NYG,2.90
TE,Gerald Everett (15801488),Gerald Everett,15801488,TE/FLEX,2500,LAR@MIN 11/19/2020 04:00PM ET,LAR,1.5
TE,Irv Smith Jr. (15801492),Irv Smith Jr.,15801492,TE/FLEX,2500,LAR@MIN 11/19/2020 04:00PM ET,MIN,2.18
TE,Brycen Hopkins (15801502),Brycen Hopkins,15801502,TE/FLEX,2500,LAR@MIN 11/19/2020 04:00PM ET,LAR,0
TE,Tyler Conklin (15801504),Tyler Conklin,15801504,TE/FLEX,2500,LAR@MIN 11/19/2020 04:00PM ET,MIN,0
TE,Johnny Mundt (15801514),Johnny Mundt,15801514,TE/FLEX,2500,LAR@MIN 11/19/2020 04:00PM ET,LAR,1.2
TE,Austin Cutting (15801520),Austin Cutting,15801520,TE/FLEX,2500,LAR@MIN 11/19/2020 04:00PM ET,MIN,0
TE,Jake McQuaide (15801524),Jake McQuaide,15801524,TE/FLEX,2500,LAR@MIN 11/19/2020 04:00PM ET,LAR,0
TE,Luke Stocker (15801494),Luke Stocker,15801494,TE/FLEX,2500,WAS@ATL 11/19/2020 12:00PM ET,ATL,1.65
TE,Thaddeus Moss (15801506),Thaddeus Moss,15801506,TE/FLEX,2500,WAS@ATL 11/19/2020 12:00PM ET,WAS,0
TE,Jaeden Graham (15801508),Jaeden Graham,15801508,TE/FLEX,2500,WAS@ATL 11/19/2020 12:00PM ET,ATL,0
TE,Marcus Baugh (15801516),Marcus Baugh,15801516,TE/FLEX,2500,WAS@ATL 11/19/2020 12:00PM ET,WAS,4.3
TE,Josh Harris (15801518),Josh Harris,15801518,TE/FLEX,2500,WAS@ATL 11/19/2020 12:00PM ET,ATL,0
